x, y, theta
3.03661799431, 0.993686199188, -2.27644925648
3.42011094093, 0.699395179749, -1.66777741692
3.17027544975, 0.319627523422, -3.11095984956
2.57593584061, 0.327102899551, 3.11209620582
2.37565088272, 0.557084083557, 1.61646221613
2.2990436554, 1.4727294445, 2.17898434447
2.35722708702, 2.00453042984, 1.37833142817
2.404556036, 2.50620627403, 1.79641947427
2.01396536827, 2.75944161415, -3.13137357526
1.48018169403, 2.75022244453, -3.08610612255
0.922298789024, 2.76910638809, -2.69628086623
0.498080193996, 2.61650466919, -2.06462615051
0.348217874765, 1.90405344963, -2.19830064103
0.31286752224, 0.685528755188, -2.00625748667
1.47218346596, 0.280256271362, 0.0443585402483
2.35471892357, 0.940692424774, 1.54211534154
2.7906832695, 2.80802226067, -0.0506188118114
3.22643327713, 2.78370642662, -0.0689167221626
3.36938881874, 2.58551192284, -1.57998485798
3.42548179626, 1.89886188507, -1.61070282454
